Date,Open,High,Low,Close,Adj Close,Volume
2019-11-11,59.500000,59.700001,58.849998,59.000000,58.777161,20588653
2019-11-12,59.250000,59.349998,58.849998,59.049999,58.826969,9967719
2019-11-13,58.900002,58.950001,58.049999,58.250000,58.029991,26033083
2019-11-14,57.900002,58.150002,57.599998,57.900002,57.681316,21907833
2019-11-15,57.900002,58.049999,57.700001,57.700001,57.482071,15597470
2019-11-18,57.799999,58.549999,57.500000,58.200001,57.980183,16292630
2019-11-19,58.000000,59.000000,58.000000,58.849998,58.627724,12713228
2019-11-20,58.799999,59.000000,58.500000,58.500000,58.279049,9331961
2019-11-21,58.000000,58.099998,57.700001,57.900002,57.681316,16487579
2019-11-22,57.900002,58.250000,57.900002,58.150002,57.930370,9236235
2019-11-25,58.799999,59.400002,58.500000,59.000000,58.777161,15809202
2019-11-26,59.200001,59.349998,58.799999,58.799999,58.577915,9230822
2019-11-27,59.000000,59.099998,58.700001,58.950001,58.727348,6860770
2019-11-28,58.750000,59.099998,58.650002,58.799999,58.577915,8285918
2019-11-29,58.500000,58.500000,58.099998,58.099998,57.880558,15146671
2019-12-02,58.250000,58.549999,58.200001,58.400002,58.179428,7434573
2019-12-03,57.849998,58.049999,57.500000,57.950001,57.731125,18076747
2019-12-04,57.000000,57.250000,56.900002,57.000000,56.784714,38315861
2019-12-05,57.549999,57.549999,57.049999,57.200001,56.983959,16758243
2019-12-06,57.150002,57.549999,57.150002,57.450001,57.233013,15047538
2019-12-09,57.650002,58.049999,57.650002,57.700001,57.482071,11014411
2019-12-10,57.700001,58.000000,57.599998,57.599998,57.382446,7667055
2019-12-11,57.599998,58.150002,57.500000,58.049999,57.830746,11546574
2019-12-12,58.250000,58.799999,58.250000,58.599998,58.378670,14197035
2019-12-13,60.049999,60.599998,59.799999,60.349998,60.122059,44146504
2019-12-16,60.000000,60.150002,59.799999,60.000000,59.773380,13497096
2019-12-17,60.700001,60.900002,60.299999,60.700001,60.470737,23525867
2019-12-18,60.549999,60.700001,60.349998,60.599998,60.371113,9810029
2019-12-19,61.000000,61.000000,60.400002,60.799999,60.570358,12698146
2019-12-20,60.599998,60.849998,60.400002,60.750000,60.520550,11966865
2019-12-23,60.700001,60.700001,60.299999,60.549999,60.321304,10340744
2019-12-24,60.500000,60.500000,60.150002,60.500000,60.271492,3714946
2019-12-27,60.799999,60.900002,60.599998,60.849998,60.620171,14441582
2019-12-30,60.799999,61.200001,60.700001,60.900002,60.669983,15500081
2019-12-31,60.849998,61.000000,60.500000,60.849998,60.620171,6998814
2020-01-02,60.849998,60.950001,60.599998,60.900002,60.669983,14629077
2020-01-03,60.900002,61.200001,60.250000,60.400002,60.171871,14419537
2020-01-06,60.099998,60.400002,59.799999,60.000000,59.773380,13809308
2020-01-07,60.200001,60.299999,59.799999,59.900002,59.673759,8818594
2020-01-08,59.299999,59.400002,58.849998,59.299999,59.076027,16826669
2020-01-09,59.549999,59.900002,59.549999,59.849998,59.623947,17802374
2020-01-10,59.950001,60.049999,59.750000,59.849998,59.623947,19011475
2020-01-13,59.500000,60.299999,59.500000,59.950001,59.723572,40492594
2020-01-14,59.799999,60.000000,59.650002,59.750000,59.524326,19350077
2020-01-15,59.599998,59.950001,59.599998,59.799999,59.574135,11324313
2020-01-16,59.799999,60.299999,59.750000,59.900002,59.673759,12528971
2020-01-17,59.849998,60.400002,59.849998,60.150002,59.922817,12045168
2020-01-20,59.900002,60.250000,59.900002,59.950001,59.723572,11801544
2020-01-21,59.349998,59.799999,59.150002,59.150002,58.926594,23520201
2020-01-22,59.000000,59.500000,59.000000,59.299999,59.076027,13123069
2020-01-23,58.950001,59.299999,58.700001,58.950001,58.727348,22887881
2020-01-24,58.650002,59.000000,58.599998,58.750000,58.528103,6897204
2020-01-29,57.150002,57.900002,57.099998,57.549999,57.332634,35228942
2020-01-30,57.200001,57.400002,56.700001,56.700001,56.485847,32487044
2020-01-31,57.200001,57.299999,56.849998,56.849998,56.635277,23220130
2020-02-03,56.349998,56.750000,56.099998,56.500000,56.286602,26826542
2020-02-04,56.000000,56.849998,56.000000,56.599998,56.386223,24510379
2020-02-05,56.299999,56.799999,56.299999,56.799999,56.585468,25450085
2020-02-06,57.799999,58.250000,57.200001,57.900002,57.681316,21438723
2020-02-07,57.450001,57.950001,57.450001,57.799999,57.581692,16166118
2020-02-10,57.849998,58.700001,57.750000,58.099998,57.880558,21510391
2020-02-11,58.200001,58.900002,58.200001,58.650002,58.428482,13625708
2020-02-12,59.049999,59.599998,58.900002,59.349998,59.125835,20911601
2020-02-13,59.750000,59.900002,59.299999,59.450001,59.225460,20939325
2020-02-14,59.500000,59.900002,59.349998,59.650002,59.424706,14762829
2020-02-17,59.150002,59.599998,59.000000,59.400002,59.175652,20379817
2020-02-18,59.349998,59.349998,57.500000,57.750000,57.531879,49578379
2020-02-19,56.250000,57.250000,56.200001,57.000000,56.784714,69758711
2020-02-20,56.799999,57.099998,56.599998,56.799999,56.585468,47355008
2020-02-21,56.500000,57.000000,56.500000,56.650002,56.436035,41477293
2020-02-24,56.650002,56.799999,56.500000,56.500000,56.286602,49917796
2020-02-25,56.000000,56.349998,56.000000,56.049999,55.838299,47023549
2020-02-26,55.450001,55.849998,55.349998,55.599998,55.389999,88500751
2020-02-27,54.799999,54.799999,54.200001,54.400002,54.400002,47341944
2020-02-28,53.349998,53.400002,53.000000,53.150002,53.150002,68658071
2020-03-02,52.500000,52.950001,52.500000,52.799999,52.799999,45360511
2020-03-03,53.000000,53.099998,52.549999,52.549999,52.549999,45432000
2020-03-04,51.750000,51.950001,50.799999,51.349998,51.349998,78906347
2020-03-05,51.549999,52.099998,51.500000,51.799999,51.799999,53217412
2020-03-06,51.150002,51.150002,50.549999,50.650002,50.650002,106618709
2020-03-09,49.000000,49.549999,48.599998,48.750000,48.750000,107572300
2020-03-10,48.400002,49.549999,48.400002,48.900002,48.900002,69125630
2020-03-11,49.200001,49.200001,48.599998,48.650002,48.650002,54556159
2020-03-12,48.000000,48.000000,46.500000,46.650002,46.650002,93238456
2020-03-13,42.000000,46.099998,42.000000,45.700001,45.700001,127327773
2020-03-16,44.000000,44.750000,43.599998,43.799999,43.799999,91411722
2020-03-17,45.000000,45.500000,43.849998,44.950001,44.950001,61904930
2020-03-18,45.200001,46.500000,44.150002,44.549999,44.549999,63302201
2020-03-19,44.200001,44.900002,43.500000,44.599998,44.599998,77249632
2020-03-20,44.950001,47.000000,44.950001,47.000000,47.000000,54043420
2020-03-23,44.750000,44.849998,43.849998,44.200001,44.200001,64238228
2020-03-24,45.000000,45.200001,44.450001,45.099998,45.099998,35692750
2020-03-25,46.099998,46.599998,45.000000,46.299999,46.299999,46847802
2020-03-26,45.950001,45.950001,45.049999,45.700001,45.700001,29685401
2020-03-27,46.000000,46.150002,45.099998,45.400002,45.400002,38499002
2020-03-30,44.799999,45.150002,44.099998,44.500000,44.500000,51712032
2020-03-31,44.750000,44.900002,43.950001,44.150002,44.150002,34812410
2020-04-01,41.000000,41.700001,39.799999,39.950001,39.950001,212365103
2020-04-02,38.799999,39.200001,37.799999,38.900002,38.900002,120204700
2020-04-03,38.000000,38.299999,37.599998,37.900002,37.900002,90173250
2020-04-06,38.500000,39.200001,38.049999,38.950001,38.950001,61129889
2020-04-07,39.799999,40.299999,39.200001,40.150002,40.150002,74051605
2020-04-08,40.150002,41.000000,39.900002,39.900002,39.900002,48475468
2020-04-09,40.450001,41.049999,40.200001,41.000000,41.000000,40473133
2020-04-14,41.000000,41.900002,40.849998,41.450001,41.450001,36916865
2020-04-15,41.299999,41.750000,40.599998,40.599998,40.599998,29855944
2020-04-16,39.750000,39.950001,39.349998,39.700001,39.700001,37385637
2020-04-17,39.799999,40.299999,39.450001,39.500000,39.500000,52045136
2020-04-20,40.200001,40.599998,39.799999,40.049999,40.049999,30234010
2020-04-21,39.799999,39.950001,39.049999,39.150002,39.150002,26649500
2020-04-22,38.450001,38.950001,38.349998,38.849998,38.849998,30535510
2020-04-23,38.799999,39.000000,38.450001,38.700001,38.700001,16392710
2020-04-24,38.500000,39.150002,38.500000,38.750000,38.750000,15509150
2020-04-27,38.950001,39.650002,38.799999,39.500000,39.500000,29008800
2020-04-28,40.099998,40.400002,39.049999,39.950001,39.950001,54166070
2020-04-29,40.599998,40.750000,40.150002,40.250000,40.250000,34078050
2020-05-04,39.000000,39.000000,38.599998,38.599998,38.599998,53885330
2020-05-05,38.599998,39.200001,38.299999,39.000000,39.000000,24186600
2020-05-06,38.500000,39.150002,38.500000,39.000000,39.000000,32638880
2020-05-07,38.700001,39.000000,38.549999,38.849998,38.849998,23315860
2020-05-08,39.299999,39.750000,39.150002,39.549999,39.549999,19639620
2020-05-11,39.849998,40.450001,39.799999,40.049999,40.049999,38970672
2020-05-12,39.200001,39.500000,38.849998,39.299999,39.299999,30960477
2020-05-13,39.000000,39.450001,38.700001,38.900002,38.900002,30665368
2020-05-14,38.500000,38.549999,38.049999,38.200001,38.200001,42920349
2020-05-15,38.250000,38.299999,38.000000,38.099998,38.099998,23336593
